lambda (nm)	A (1 drop)	A (4 drops)	A (6 drops)
365.036	0	0	0
365.207	0	0	0
365.37800000000000	0	0	0
365.54900000000000	0	0	0
365.72100000000000	0	0	0
365.89200000000000	0	0	0
366.06300000000000	0	0	0
366.23400000000000	0	0	0
366.40600000000000	0	0	0
366.57700000000000	0	0	0
366.74800000000000	0	0	0
366.91900000000000	0	0	0
367.09100000000000	0	0	0
367.26200000000000	0	0	0
367.43300000000000	0	0	0
367.604	0	0	0
367.776	0	0	0
			
367.947	0	0	0
368.118	0	0	0
368.289	0	0	0
368.461	0	0	0
368.632	0	0	0
368.803	2.5	2.5	2.5
368.974	2.5	2.5	2.5
369.146	2.5	2.5	2.5
369.317	2.5	2.5	2.5
369.488	2.5	2.5	2.5
369.659	2.5	2.5	2.5
369.831	2.5	2.5	2.5
370.002	2.5	2.5	2.5
370.173	2.5	2.5	2.5
370.345	2.5	2.5	2.5
370.516	2.5	2.5	2.5
370.687	2.5	2.5	2.5
370.858	1.305	2.5	2.5
371.03	1.011	2.5	2.5
371.201	0.817	2.5	2.5
371.372	0.617	2.5	2.5
371.543	0.47	2.5	2.5
371.715	0.47	2.5	2.5
371.886	0.419	2.5	2.5
372.057	0.361	2.5	2.5
372.229	0.348	2.5	2.5
372.4	0.313	2.5	2.5
372.571	0.301	2.5	2.5
372.742	0.277	2.5	2.5
372.914	0.275	1.778	2.5
373.085	0.268	1.675	2.5
373.256	0.256	1.519	2.5
373.428	0.246	1.192	2.5
373.599	0.219	1.005	2.5
373.77	0.216	0.94	2.5
373.941	0.198	0.878	2.5
374.113	0.191	0.813	2.5
374.284	0.183	0.773	2.5
374.455	0.189	0.718	2.5
374.627	0.179	0.686	2.5
374.798	0.173	0.652	2.5
374.969	0.167	0.628	2.5
375.141	0.161	0.6	2.5
375.312	0.162	0.581	2.5
375.483	0.161	0.561	2.5
375.654	0.157	0.543	2.5
375.826	0.154	0.53	2.5
375.997	0.154	0.517	2.5
376.168	0.154	0.503	2.5
376.34	0.154	0.498	2.5
376.511	0.155	0.493	2.5
376.682	0.158	0.489	2.5
376.854	0.161	0.479	2.5
377.025	0.164	0.476	2.5
377.196	0.164	0.477	2.414
377.368	0.161	0.468	1.855
377.539	0.159	0.467	1.6
377.71	0.155	0.464	1.502
377.881	0.154	0.461	1.353
378.053	0.152	0.454	1.242
378.224	0.152	0.45	1.187
378.395	0.149	0.443	1.11
378.567	0.148	0.435	1.036
378.738	0.146	0.43	1
378.909	0.145	0.425	0.968
379.081	0.144	0.421	0.929
379.252	0.142	0.419	0.91
379.423	0.142	0.416	0.888
379.595	0.141	0.413	0.87
379.766	0.139	0.41	0.85
379.937	0.138	0.405	0.833
380.109	0.139	0.403	0.825
380.28	0.137	0.399	0.815
380.451	0.137	0.397	0.809
380.623	0.137	0.396	0.797
380.794	0.138	0.396	0.786
380.965	0.139	0.395	0.778
381.137	0.138	0.396	0.77
381.308	0.138	0.396	0.763
381.479	0.138	0.394	0.757
381.651	0.137	0.394	0.751
381.822	0.138	0.393	0.745
381.993	0.138	0.391	0.738
382.165	0.139	0.39	0.731
382.336	0.139	0.388	0.725
382.507	0.139	0.387	0.719
382.679	0.139	0.386	0.712
382.85	0.139	0.385	0.707
383.021	0.14	0.385	0.702
383.193	0.14	0.385	0.698
383.364	0.14	0.384	0.698
383.535	0.139	0.384	0.693
383.707	0.139	0.383	0.69
383.878	0.138	0.382	0.686
384.049	0.137	0.381	0.68
384.221	0.136	0.38	0.679
384.392	0.135	0.38	0.677
384.564	0.135	0.38	0.676
384.735	0.135	0.38	0.672
384.906	0.135	0.379	0.67
385.078	0.135	0.378	0.669
385.249	0.134	0.377	0.667
385.42	0.134	0.376	0.665
385.592	0.134	0.375	0.664
385.763	0.133	0.374	0.662
385.934	0.133	0.373	0.66
386.106	0.132	0.371	0.658
386.277	0.132	0.369	0.655
386.448	0.132	0.368	0.653
386.62	0.131	0.367	0.652
386.791	0.132	0.366	0.651
386.963	0.132	0.366	0.65
387.134	0.132	0.365	0.649
387.305	0.132	0.365	0.648
387.477	0.132	0.365	0.646
387.648	0.132	0.365	0.644
387.819	0.132	0.364	0.643
387.991	0.132	0.364	0.642
388.162	0.132	0.364	0.641
388.334	0.132	0.365	0.641
388.505	0.132	0.365	0.64
388.676	0.132	0.365	0.639
388.848	0.132	0.365	0.638
389.019	0.132	0.365	0.637
389.19	0.131	0.365	0.636
389.362	0.131	0.365	0.635
389.533	0.132	0.365	0.634
389.705	0.131	0.365	0.634
389.876	0.131	0.365	0.633
390.047	0.131	0.365	0.633
390.219	0.131	0.365	0.632
390.39	0.131	0.365	0.632
390.562	0.131	0.365	0.632
390.733	0.132	0.365	0.632
390.904	0.132	0.365	0.632
391.076	0.132	0.365	0.632
391.247	0.132	0.364	0.632
391.419	0.132	0.365	0.632
391.59	0.133	0.365	0.632
391.761	0.133	0.364	0.632
391.933	0.133	0.364	0.633
392.104	0.134	0.365	0.633
392.276	0.134	0.365	0.633
392.447	0.134	0.365	0.634
392.618	0.134	0.365	0.634
392.79	0.134	0.365	0.635
392.961	0.134	0.365	0.635
393.133	0.134	0.366	0.635
393.304	0.134	0.366	0.636
393.475	0.134	0.367	0.636
393.647	0.134	0.367	0.637
393.818	0.134	0.368	0.638
393.99	0.134	0.368	0.639
394.161	0.134	0.369	0.64
394.332	0.134	0.369	0.641
394.504	0.135	0.37	0.642
394.675	0.135	0.37	0.642
394.847	0.135	0.37	0.643
395.018	0.135	0.371	0.644
395.189	0.135	0.371	0.645
395.361	0.135	0.372	0.646
395.532	0.135	0.373	0.647
395.704	0.135	0.373	0.648
395.875	0.135	0.373	0.649
396.047	0.135	0.374	0.65
396.218	0.135	0.375	0.651
396.389	0.135	0.375	0.651
396.561	0.135	0.375	0.653
396.732	0.135	0.376	0.654
396.904	0.136	0.377	0.655
397.075	0.136	0.377	0.656
397.247	0.136	0.378	0.658
397.418	0.136	0.379	0.659
397.589	0.136	0.38	0.661
397.761	0.136	0.381	0.662
397.932	0.137	0.382	0.664
398.104	0.137	0.383	0.666
398.275	0.137	0.384	0.668
398.447	0.137	0.385	0.671
398.618	0.137	0.387	0.672
398.789	0.137	0.388	0.675
398.961	0.137	0.389	0.677
399.132	0.138	0.39	0.679
399.304	0.138	0.391	0.681
399.475	0.138	0.393	0.684
399.647	0.138	0.394	0.686
399.818	0.139	0.395	0.688
399.989	0.139	0.396	0.69
400.161	0.139	0.398	0.692
400.332	0.139	0.399	0.694
400.504	0.14	0.4	0.696
400.675	0.14	0.401	0.698
400.847	0.141	0.402	0.7
401.018	0.141	0.403	0.702
401.19	0.141	0.405	0.705
401.361	0.141	0.406	0.707
401.533	0.142	0.407	0.709
401.704	0.142	0.409	0.711
401.875	0.142	0.41	0.713
402.047	0.143	0.411	0.716
402.218	0.143	0.413	0.719
402.39	0.143	0.414	0.721
402.561	0.144	0.415	0.723
402.733	0.144	0.416	0.726
402.904	0.144	0.418	0.728
403.076	0.144	0.419	0.731
403.247	0.144	0.421	0.733
403.419	0.145	0.422	0.736
403.59	0.145	0.423	0.739
403.762	0.145	0.424	0.742
403.933	0.145	0.425	0.745
404.104	0.145	0.426	0.747
404.276	0.146	0.428	0.75
404.447	0.146	0.429	0.753
404.619	0.146	0.43	0.756
404.79	0.146	0.431	0.758
404.962	0.146	0.432	0.761
405.133	0.147	0.434	0.764
405.305	0.147	0.435	0.766
405.476	0.147	0.436	0.769
405.648	0.148	0.437	0.772
405.819	0.148	0.438	0.773
405.991	0.148	0.44	0.775
406.162	0.149	0.441	0.778
406.334	0.149	0.442	0.78
406.505	0.149	0.443	0.781
406.677	0.149	0.444	0.782
406.848	0.149	0.445	0.785
407.02	0.15	0.446	0.786
407.191	0.15	0.447	0.788
407.363	0.15	0.448	0.79
407.534	0.15	0.449	0.791
407.706	0.151	0.45	0.793
407.877	0.151	0.451	0.795
408.048	0.151	0.452	0.797
408.22	0.151	0.452	0.799
408.391	0.151	0.454	0.801
408.563	0.151	0.455	0.803
408.734	0.151	0.456	0.805
408.906	0.151	0.457	0.806
409.077	0.151	0.458	0.808
409.249	0.151	0.459	0.811
409.42	0.151	0.46	0.812
409.592	0.152	0.461	0.814
409.763	0.152	0.462	0.816
409.935	0.151	0.463	0.817
410.106	0.151	0.464	0.819
410.278	0.151	0.465	0.821
410.449	0.151	0.465	0.822
410.621	0.151	0.466	0.823
410.792	0.151	0.466	0.826
410.964	0.151	0.466	0.828
411.135	0.151	0.466	0.83
411.307	0.151	0.466	0.831
411.479	0.151	0.466	0.832
411.65	0.151	0.466	0.833
411.822	0.151	0.467	0.834
411.993	0.151	0.467	0.835
412.165	0.151	0.467	0.836
412.336	0.152	0.467	0.837
412.508	0.152	0.467	0.838
412.679	0.152	0.467	0.838
412.851	0.152	0.468	0.84
413.022	0.152	0.467	0.84
413.194	0.152	0.467	0.841
413.365	0.153	0.467	0.841
413.537	0.153	0.467	0.841
413.708	0.153	0.468	0.843
413.88	0.153	0.468	0.845
414.051	0.153	0.468	0.846
414.223	0.153	0.469	0.847
414.394	0.153	0.469	0.848
414.566	0.153	0.469	0.849
414.737	0.153	0.47	0.851
414.909	0.153	0.47	0.853
415.08	0.153	0.47	0.853
415.252	0.153	0.47	0.852
415.424	0.153	0.47	0.851
415.595	0.153	0.47	0.851
415.767	0.153	0.471	0.851
415.938	0.153	0.472	0.852
416.11	0.153	0.472	0.852
416.281	0.153	0.472	0.853
416.453	0.153	0.473	0.854
416.624	0.152	0.472	0.854
416.796	0.152	0.472	0.855
416.967	0.152	0.473	0.856
417.139	0.151	0.472	0.857
417.31	0.152	0.473	0.858
417.482	0.152	0.473	0.861
417.654	0.152	0.474	0.863
417.825	0.152	0.475	0.865
417.997	0.152	0.476	0.866
418.168	0.152	0.477	0.868
418.34	0.152	0.478	0.869
418.511	0.152	0.479	0.87
418.683	0.152	0.48	0.874
418.854	0.152	0.481	0.877
419.026	0.152	0.483	0.88
419.198	0.152	0.484	0.882
419.369	0.152	0.486	0.884
419.541	0.152	0.487	0.885
419.712	0.152	0.49	0.892
419.884	0.152	0.491	0.895
420.055	0.153	0.493	0.899
420.227	0.153	0.493	0.902
420.398	0.153	0.495	0.904
420.57	0.154	0.495	0.907
420.742	0.154	0.496	0.912
420.913	0.154	0.496	0.913
421.085	0.154	0.496	0.916
421.256	0.155	0.497	0.92
421.428	0.156	0.498	0.925
421.599	0.156	0.499	0.929
421.771	0.157	0.5	0.929
421.943	0.157	0.501	0.932
422.114	0.158	0.502	0.936
422.286	0.158	0.503	0.942
422.457	0.159	0.504	0.943
422.629	0.159	0.506	0.945
422.8	0.16	0.509	0.953
422.972	0.16	0.511	0.959
423.144	0.161	0.514	0.965
423.315	0.162	0.517	0.967
423.487	0.163	0.52	0.972
423.658	0.163	0.522	0.975
423.83	0.163	0.526	0.984
424.002	0.163	0.528	0.987
424.173	0.164	0.531	0.994
424.345	0.165	0.532	0.997
424.516	0.165	0.534	1.001
424.688	0.165	0.535	1.011
424.859	0.165	0.536	1.018
425.031	0.165	0.537	1.021
425.203	0.165	0.539	1.034
425.374	0.166	0.542	1.048
425.546	0.166	0.543	1.056
425.717	0.166	0.544	1.062
425.889	0.167	0.547	1.075
426.061	0.168	0.549	1.088
426.232	0.169	0.552	1.102
426.404	0.169	0.553	1.109
426.575	0.17	0.556	1.118
426.747	0.171	0.56	1.131
426.919	0.172	0.562	1.151
427.09	0.174	0.566	1.161
427.262	0.174	0.569	1.161
427.433	0.175	0.574	1.165
427.605	0.176	0.577	1.175
427.777	0.176	0.58	1.182
427.948	0.177	0.584	1.193
428.12	0.178	0.587	1.195
428.291	0.179	0.59	1.197
428.463	0.179	0.592	1.202
428.635	0.179	0.595	1.205
428.806	0.179	0.598	1.217
428.978	0.18	0.601	1.227
429.149	0.179	0.602	1.229
429.321	0.179	0.604	1.24
429.493	0.179	0.605	1.241
429.664	0.179	0.606	1.245
429.836	0.18	0.607	1.256
430.008	0.18	0.608	1.262
430.179	0.181	0.608	1.267
430.351	0.181	0.61	1.283
430.522	0.181	0.611	1.288
430.694	0.181	0.612	1.304
430.866	0.181	0.612	1.306
431.037	0.182	0.614	1.321
431.209	0.182	0.615	1.315
431.381	0.182	0.613	1.31
431.552	0.183	0.614	1.317
431.724	0.182	0.612	1.314
431.895	0.182	0.613	1.308
432.067	0.182	0.613	1.304
432.239	0.181	0.612	1.296
432.41	0.18	0.612	1.287
432.582	0.18	0.615	1.293
432.754	0.179	0.613	1.272
432.925	0.179	0.611	1.261
433.097	0.178	0.609	1.251
433.269	0.178	0.607	1.243
433.44	0.178	0.606	1.233
433.612	0.178	0.604	1.221
433.783	0.178	0.603	1.214
433.955	0.178	0.6	1.198
434.127	0.178	0.599	1.188
434.298	0.177	0.596	1.179
434.47	0.176	0.596	1.174
434.642	0.176	0.593	1.16
434.813	0.175	0.59	1.151
434.985	0.175	0.588	1.142
435.157	0.174	0.584	1.133
435.328	0.174	0.58	1.12
435.5	0.173	0.575	1.107
435.672	0.172	0.573	1.099
435.843	0.171	0.569	1.085
436.015	0.171	0.567	1.08
436.187	0.17	0.563	1.075
436.358	0.17	0.561	1.068
436.53	0.17	0.557	1.057
436.701	0.17	0.554	1.052
436.873	0.169	0.549	1.039
437.045	0.168	0.546	1.033
437.216	0.168	0.543	1.025
437.388	0.168	0.54	1.017
437.56	0.167	0.536	1.002
437.731	0.167	0.531	0.987
437.903	0.166	0.527	0.973
438.075	0.165	0.523	0.96
438.246	0.165	0.519	0.95
438.418	0.164	0.514	0.936
438.59	0.163	0.511	0.925
438.761	0.163	0.507	0.914
438.933	0.162	0.503	0.906
439.105	0.161	0.499	0.895
439.276	0.16	0.493	0.883
439.448	0.158	0.49	0.877
439.62	0.157	0.485	0.867
439.791	0.156	0.482	0.86
439.963	0.155	0.478	0.852
440.135	0.155	0.476	0.847
440.307	0.154	0.472	0.84
440.478	0.154	0.47	0.834
440.65	0.153	0.467	0.83
440.822	0.152	0.465	0.826
440.993	0.151	0.461	0.819
441.165	0.15	0.459	0.812
441.337	0.149	0.455	0.806
441.508	0.148	0.452	0.798
441.68	0.146	0.448	0.791
441.852	0.146	0.444	0.782
442.023	0.146	0.442	0.775
442.195	0.145	0.439	0.77
442.367	0.145	0.437	0.765
442.538	0.144	0.434	0.757
442.71	0.143	0.432	0.752
442.882	0.142	0.43	0.746
443.054	0.142	0.427	0.743
443.225	0.141	0.425	0.738
443.397	0.141	0.423	0.733
443.569	0.141	0.421	0.731
443.74	0.141	0.419	0.726
443.912	0.141	0.418	0.723
444.084	0.142	0.416	0.72
444.255	0.142	0.415	0.718
444.427	0.142	0.413	0.715
444.599	0.142	0.411	0.714
444.771	0.141	0.41	0.711
444.942	0.141	0.409	0.708
445.114	0.14	0.405	0.705
445.286	0.14	0.405	0.704
445.457	0.14	0.403	0.7
445.629	0.139	0.402	0.697
445.801	0.138	0.401	0.695
445.972	0.138	0.401	0.692
446.144	0.138	0.399	0.69
446.316	0.137	0.398	0.688
446.488	0.136	0.396	0.685
446.659	0.135	0.395	0.685
446.831	0.135	0.395	0.683
447.003	0.135	0.394	0.681
447.174	0.135	0.393	0.682
447.346	0.135	0.393	0.681
447.518	0.135	0.392	0.68
447.69	0.135	0.391	0.679
447.861	0.135	0.39	0.679
448.033	0.135	0.39	0.677
448.205	0.135	0.388	0.678
448.377	0.135	0.388	0.677
448.548	0.134	0.387	0.674
448.72	0.134	0.387	0.671
448.892	0.134	0.386	0.67
449.063	0.134	0.386	0.668
449.235	0.134	0.386	0.665
449.407	0.134	0.387	0.663
449.579	0.134	0.387	0.661
449.75	0.134	0.387	0.66
449.922	0.134	0.387	0.66
450.094	0.134	0.386	0.657
450.266	0.133	0.385	0.656
450.437	0.133	0.385	0.657
450.609	0.133	0.385	0.656
450.781	0.133	0.385	0.656
450.953	0.133	0.385	0.655
451.124	0.133	0.385	0.655
451.296	0.132	0.384	0.655
451.468	0.132	0.385	0.653
451.64	0.133	0.385	0.652
451.811	0.133	0.385	0.652
451.983	0.132	0.385	0.652
452.155	0.132	0.384	0.649
452.327	0.131	0.384	0.648
452.498	0.13	0.383	0.645
452.67	0.129	0.383	0.643
452.842	0.129	0.382	0.64
453.014	0.128	0.38	0.637
453.185	0.128	0.38	0.635
453.357	0.128	0.379	0.631
453.529	0.128	0.378	0.629
453.701	0.128	0.377	0.627
453.872	0.127	0.377	0.624
454.044	0.127	0.376	0.623
454.216	0.126	0.375	0.621
454.388	0.126	0.374	0.62
454.559	0.126	0.373	0.62
454.731	0.126	0.373	0.619
454.903	0.126	0.372	0.619
455.075	0.126	0.372	0.619
455.246	0.126	0.371	0.618
455.418	0.126	0.37	0.616
455.59	0.126	0.369	0.615
455.762	0.126	0.368	0.614
455.933	0.126	0.367	0.613
456.105	0.126	0.365	0.611
456.277	0.125	0.364	0.609
456.449	0.125	0.363	0.609
456.621	0.125	0.362	0.606
456.792	0.125	0.36	0.604
456.964	0.125	0.359	0.601
457.136	0.125	0.357	0.598
457.308	0.125	0.356	0.596
457.479	0.125	0.355	0.595
457.651	0.125	0.355	0.593
457.823	0.125	0.354	0.592
457.995	0.125	0.353	0.59
458.167	0.125	0.353	0.589
458.338	0.125	0.352	0.587
458.51	0.125	0.351	0.585
458.682	0.125	0.35	0.584
458.854	0.125	0.349	0.582
459.025	0.125	0.348	0.581
459.197	0.125	0.346	0.579
459.369	0.125	0.344	0.577
459.541	0.125	0.343	0.575
459.713	0.125	0.342	0.573
459.884	0.125	0.341	0.571
460.056	0.126	0.34	0.57
460.228	0.125	0.339	0.567
460.4	0.125	0.338	0.565
460.572	0.125	0.337	0.563
460.743	0.125	0.336	0.561
460.915	0.125	0.335	0.559
461.087	0.125	0.334	0.557
461.259	0.124	0.333	0.556
461.431	0.124	0.332	0.555
461.602	0.123	0.331	0.554
461.774	0.123	0.33	0.552
461.946	0.123	0.33	0.551
462.118	0.123	0.329	0.55
462.29	0.122	0.328	0.548
462.461	0.122	0.327	0.545
462.633	0.122	0.326	0.543
462.805	0.122	0.325	0.541
462.977	0.122	0.325	0.539
463.149	0.122	0.324	0.537
463.32	0.121	0.323	0.535
463.492	0.121	0.322	0.533
463.664	0.121	0.321	0.53
463.836	0.121	0.32	0.528
464.008	0.121	0.32	0.525
464.18	0.12	0.319	0.523
464.351	0.12	0.318	0.519
464.523	0.119	0.317	0.517
464.695	0.119	0.316	0.515
464.867	0.119	0.315	0.512
465.039	0.119	0.314	0.511
465.21	0.118	0.313	0.509
465.382	0.118	0.312	0.507
465.554	0.117	0.311	0.505
465.726	0.117	0.31	0.503
465.898	0.117	0.309	0.503
466.07	0.117	0.309	0.502
466.241	0.116	0.307	0.5
466.413	0.116	0.307	0.498
466.585	0.116	0.306	0.497
466.757	0.116	0.305	0.497
466.929	0.117	0.305	0.496
467.101	0.116	0.304	0.494
467.272	0.116	0.303	0.493
467.444	0.116	0.303	0.492
467.616	0.116	0.302	0.491
467.788	0.116	0.301	0.489
467.96	0.116	0.301	0.488
468.132	0.116	0.301	0.487
468.303	0.116	0.3	0.485
468.475	0.116	0.299	0.483
468.647	0.116	0.299	0.482
468.819	0.116	0.297	0.48
468.991	0.116	0.297	0.479
469.163	0.116	0.296	0.477
469.335	0.116	0.295	0.476
469.506	0.115	0.294	0.474
469.678	0.115	0.293	0.472
469.85	0.115	0.293	0.471
470.022	0.115	0.292	0.469
470.194	0.115	0.292	0.467
470.366	0.115	0.291	0.466
470.538	0.114	0.291	0.464
470.709	0.115	0.29	0.463
470.881	0.114	0.289	0.461
471.053	0.114	0.288	0.459
471.225	0.113	0.287	0.457
471.397	0.113	0.287	0.456
471.569	0.113	0.286	0.455
471.741	0.113	0.285	0.453
471.912	0.113	0.284	0.451
472.084	0.113	0.284	0.45
472.256	0.112	0.282	0.447
472.428	0.112	0.281	0.446
472.6	0.112	0.28	0.444
472.772	0.112	0.279	0.442
472.944	0.112	0.277	0.439
473.115	0.112	0.276	0.437
473.287	0.112	0.275	0.435
473.459	0.112	0.274	0.433
473.631	0.112	0.273	0.43
473.803	0.112	0.272	0.428
473.975	0.112	0.271	0.425
474.147	0.112	0.269	0.422
474.319	0.112	0.268	0.419
474.49	0.111	0.267	0.417
474.662	0.111	0.265	0.414
474.834	0.11	0.263	0.411
475.006	0.11	0.262	0.408
475.178	0.109	0.26	0.406
475.35	0.108	0.258	0.403
475.522	0.108	0.256	0.4
475.694	0.107	0.254	0.397
475.865	0.107	0.252	0.395
476.037	0.106	0.25	0.392
476.209	0.105	0.248	0.389
476.381	0.104	0.246	0.386
476.553	0.104	0.245	0.384
476.725	0.103	0.243	0.382
476.897	0.103	0.241	0.379
477.069	0.102	0.24	0.377
477.241	0.102	0.238	0.375
477.413	0.102	0.236	0.373
477.584	0.102	0.235	0.37
477.756	0.101	0.234	0.368
477.928	0.101	0.233	0.365
478.1	0.101	0.231	0.363
478.272	0.101	0.23	0.36
478.444	0.1	0.229	0.358
478.616	0.1	0.227	0.355
478.788	0.1	0.225	0.352
478.96	0.1	0.224	0.349
479.132	0.1	0.222	0.346
479.303	0.099	0.221	0.343
479.475	0.099	0.219	0.34
479.647	0.098	0.217	0.337
479.819	0.097	0.216	0.334
479.991	0.097	0.214	0.331
480.163	0.096	0.212	0.328
480.335	0.096	0.211	0.326
480.507	0.095	0.209	0.323
480.679	0.095	0.208	0.321
480.851	0.094	0.207	0.319
481.023	0.094	0.205	0.316
481.194	0.093	0.204	0.314
481.366	0.093	0.203	0.312
481.538	0.093	0.201	0.309
481.71	0.092	0.2	0.307
481.882	0.092	0.199	0.305
482.054	0.092	0.197	0.303
482.226	0.092	0.196	0.301
482.398	0.091	0.194	0.298
482.57	0.091	0.193	0.296
482.742	0.09	0.191	0.293
482.914	0.09	0.189	0.29
483.086	0.09	0.187	0.288
483.258	0.089	0.185	0.285
483.429	0.089	0.184	0.283
483.601	0.089	0.182	0.28
483.773	0.088	0.18	0.278
483.945	0.088	0.179	0.275
484.117	0.088	0.177	0.273
484.289	0.087	0.176	0.271
484.461	0.087	0.174	0.268
484.633	0.086	0.173	0.266
484.805	0.086	0.171	0.264
484.977	0.086	0.17	0.262
485.149	0.086	0.169	0.26
485.321	0.086	0.168	0.258
485.493	0.085	0.166	0.256
485.665	0.085	0.165	0.254
485.837	0.085	0.164	0.252
486.009	0.084	0.163	0.25
486.18	0.084	0.162	0.248
486.352	0.084	0.161	0.246
486.524	0.083	0.159	0.243
486.696	0.083	0.158	0.241
486.868	0.083	0.157	0.239
487.04	0.083	0.155	0.237
487.212	0.082	0.154	0.235
487.384	0.082	0.153	0.233
487.556	0.082	0.152	0.232
487.728	0.081	0.15	0.23
487.9	0.081	0.149	0.228
488.072	0.08	0.148	0.226
488.244	0.08	0.147	0.224
488.416	0.08	0.146	0.223
488.588	0.08	0.145	0.221
488.76	0.079	0.144	0.219
488.932	0.079	0.143	0.217
489.104	0.079	0.142	0.216
489.276	0.078	0.141	0.214
489.448	0.078	0.14	0.212
489.62	0.078	0.139	0.21
489.792	0.077	0.138	0.209
489.964	0.077	0.138	0.207
490.135	0.077	0.136	0.205
490.307	0.077	0.136	0.204
